aluminium;ammonia;arsenic;barium;cadmium;chloramine;chromium;copper;flouride;bacteria;viruses;lead;nitrates;nitrites;mercury;perchlorate;radium;selenium;silver;uranium;is_safe
4;1767;9;15;9;2;8;5;148;0;67;8;1796;85;2;367;86;7;2;8;0
2;2666;0;113;6;2;1;6;89;0;84;179;887;3;7;293;141;7;1;3;0
5;2364;9;85;9;2;7;3;106;0;5;38;157;97;5;231;89;6;7;9;0
9;801;6;72;2;5;4;5;11;0;0;113;36;27;4;137;54;7;7;1;0
8;559;3;203;4;6;8;7;131;0;9;46;427;13;8;232;73;2;7;0;0
1;1969;9;164;7;6;7;8;103;0;2;141;1663;4;6;579;22;1;5;8;0
8;1782;4;9;9;9;8;4;96;0;9;57;761;44;6;18;57;7;1;7;0
5;89;7;38;9;6;6;1;132;0;59;118;92;84;5;13;97;4;7;6;0
9;2364;5;48;6;3;8;7;75;0;82;197;1171;51;6;504;201;8;7;1;0
6;2552;1;33;4;2;9;3;7;0;74;145;1512;56;3;84;5;8;2;6;0
7;362;1;82;3;4;8;6;13;0;97;17;116;28;6;186;24;6;1;8;0
9;765;1;97;5;27;7;4;37;0;74;13;1678;6;6;3;14;6;8;3;0
4;598;1;104;8;9;9;7;118;0;56;115;1599;52;3;56;5;1;6;6;0
0;1445;7;93;1;32;6;2;14;0;94;166;45;34;5;489;358;9;2;7;0
8;22;8;112;4;29;1;18;146;31;4;113;985;196;6;116;232;9;2;7;0
3;1985;1;58;5;14;2;7;126;0;5;162;49;23;8;176;55;5;9;5;0
5;331;7;99;0;16;6;4;143;0;97;118;217;5;2;99;40;3;8;0;0
5;2902;2;28;7;11;9;3;55;0;6;169;1163;52;8;204;14;3;8;7;0
3;2637;1;85;5;5;5;1;92;2;6;19;1376;4;9;631;432;7;8;4;0
5;1888;9;27;9;8;8;4;78;0;89;9;1723;67;4;6;435;1;0;9;0
5;115;1;10;7;1;7;5;138;0;89;33;141;5;9;92;53;0;9;2;0
3;2173;5;56;5;8;6;1;124;0;83;26;66;47;9;11;64;1;1;9;0
5;1481;0;38;8;37;7;4;25;0;64;96;1307;94;9;588;299;6;5;4;0
2;487;6;93;6;49;4;9;82;1;7;145;701;93;3;18;247;2;9;7;0
9;2716;4;82;9;39;3;8;78;0;54;35;883;5;1;45;3;7;4;5;0
2;1357;4;44;3;4;5;4;116;51;51;44;523;164;6;17;58;4;4;8;0
9;5;4;52;3;55;1;0;38;0;6;16;1477;98;7;367;259;7;3;4;0
7;964;2;4;3;13;8;8;22;0;4;35;503;19;2;251;463;0;2;6;0
7;858;2;255;7;1;2;4;99;0;6;132;847;84;6;27;272;2;8;2;0
4;151;2;61;2;1;1;8;12;0;59;47;188;15;7;2;91;6;0;2;0
4;355;0;12;9;6;7;9;136;0;82;17;135;34;6;143;7;2;9;6;0
8;2374;6;21;2;61;2;9;43;0;2;59;1637;32;6;508;19;3;4;6;0
6;1741;0;191;6;4;5;6;141;0;99;113;919;61;4;439;63;4;6;6;0
3;163;1;66;3;3;4;3;5;0;9;169;1789;44;1;9;112;9;2;3;0
3;2854;1;27;5;28;5;4;43;0;73;18;998;61;9;1127;85;2;1;1;0
7;117;4;10;1;29;1;2;5;0;52;19;975;17;3;116;144;5;6;6;0
4;2591;8;69;5;7;4;2;104;0;9;149;1468;27;7;634;66;2;6;7;0
9;1138;9;86;8;19;3;3;112;0;2;185;718;33;5;502;334;8;1;0;0
2;1784;6;61;6;18;2;3;12;0;66;16;896;42;1;293;94;0;5;3;0
5;1227;8;266;9;5;9;2;51;2;8;187;107;97;1;44;641;8;1;0;0
5;172;9;92;2;1;4;9;117;0;2;35;92;39;9;111;122;0;4;2;0
7;4;7;191;1;5;8;0;131;0;78;65;1524;71;3;809;123;5;7;9;0
6;2276;2;75;8;7;7;2;27;0;5;13;1762;63;1;1039;355;2;0;8;0
1;193;5;7;1;5;0;5;3;0;56;166;967;6;6;509;323;6;0;2;0
0;2903;8;27;2;36;4;3;15;1;2;107;395;28;0;242;66;7;7;0;0
2;2876;8;77;3;5;1;3;43;0;94;7;372;88;3;488;111;7;1;6;0
2;29;7;58;8;5;1;3;145;0;1;91;1366;64;1;415;42;4;2;9;0
1;167;9;12;6;25;1;1;13;0;94;49;606;54;2;206;82;4;4;2;0
8;872;6;82;8;0;6;7;64;0;7;89;1791;52;6;8;122;4;1;6;0
4;1051;2;14;3;25;8;5;53;0;9;3;673;23;8;16;103;8;8;7;0
6;1672;1;10;1;1;1;6;85;0;0;124;1316;1;1;1198;5;8;1;5;0
0;2482;5;5;8;51;0;6;127;0;1;117;1288;26;5;348;282;1;1;3;0
6;18;3;74;4;15;7;2;92;0;4;184;1027;59;7;57;7;4;3;8;0
6;1564;3;33;5;34;1;3;116;0;72;156;52;13;1;217;347;9;2;8;0
8;204;4;29;8;4;2;1;93;0;82;175;1717;86;3;1077;333;1;9;2;0
4;468;7;13;2;1;5;7;25;0;74;169;698;66;1;831;101;6;6;2;0
7;2045;2;18;3;34;9;4;51;0;57;176;388;92;1;295;26;2;7;5;0
3;1906;7;62;7;16;4;2;143;0;68;89;443;88;4;43;151;3;3;4;0
6;2322;9;10;9;2;4;9;12;0;52;121;1085;33;2;324;336;8;9;1;0
1;2522;7;7;9;4;4;8;103;1;8;14;1099;89;6;133;4;6;6;6;0
2;2839;8;33;2;15;5;6;61;0;98;76;54;86;3;101;73;4;2;5;0
1;887;6;95;4;59;7;4;88;0;5;72;278;95;9;237;16;1;3;6;0
3;79;9;9;4;1;4;7;132;0;62;103;1378;29;1;11;74;6;1;0;0
5;2966;9;72;6;19;7;3;69;0;77;11;52;11;3;153;273;6;1;4;0
2;644;2;59;5;36;1;6;148;0;4;183;384;28;5;813;30;6;2;8;0
9;1559;7;39;9;7;1;4;93;0;83;166;814;58;7;206;34;8;2;2;0
4;1816;8;26;4;12;8;5;134;0;72;17;1632;85;6;88;187;8;1;8;0
3;2293;3;85;7;3;7;6;103;4;7;67;1392;99;0;183;126;5;8;0;0
7;704;8;82;3;48;6;7;64;0;2;74;728;81;2;69;435;7;5;5;0
9;1341;1;32;6;2;0;3;8;0;63;44;1661;98;8;442;237;2;1;9;0
9;953;4;42;9;14;1;7;135;0;10;158;9;61;9;534;72;1;9;7;0
6;2425;3;37;6;3;3;151;36;78;78;159;1409;174;8;336;461;7;5;7;0
9;82;8;2;7;12;2;199;48;33;1;5;1831;145;0;228;67;9;3;0;0
5;69;7;17;8;2;3;3;94;0;8;42;206;95;8;32;61;5;8;2;0
3;1974;4;46;1;1;3;1;61;0;53;105;893;65;7;221;138;2;8;7;0
1;526;2;169;4;2;1;9;7;0;2;155;1201;1;2;284;27;7;9;1;0
8;2319;1;6;9;57;2;7;0;0;3;12;18;1;8;681;45;3;9;1;0
1;107;1;89;5;24;2;6;147;0;9;97;242;54;3;258;165;1;4;1;0
4;1968;3;79;3;18;4;2;14;0;5;164;1088;1;5;281;31;9;2;6;0
3;946;2;95;4;17;9;0;105;0;56;174;1307;61;6;136;65;6;6;7;0
5;2371;6;179;6;29;4;5;45;0;9;128;408;74;2;459;96;1;1;7;0
9;1168;6;84;3;13;5;6;123;0;8;196;96;86;8;256;442;3;2;7;0
8;2406;9;89;8;9;8;4;104;0;76;43;265;42;2;786;20;8;5;0;0
1;2814;2;56;5;27;0;1;91;0;8;5;965;39;5;239;478;9;3;1;0
7;146;3;101;6;1;8;0;137;0;93;161;265;56;9;157;46;4;1;1;0
1;2428;8;14;3;13;1;1;119;9;5;32;1536;10;5;37;154;9;5;6;0
8;1817;6;21;5;17;7;6;95;0;61;16;1175;15;2;442;27;5;1;4;0
3;157;9;33;7;8;8;8;139;0;0;118;546;83;1;4;14;4;0;7;0
7;2751;2;23;9;2;7;2;66;0;68;182;219;81;9;167;223;1;6;7;0
2;2211;3;5;3;46;8;4;106;7;1;147;75;64;2;465;481;3;1;7;0
8;2195;5;36;9;48;1;5;10;0;75;119;899;27;9;739;22;9;9;2;0
5;2243;1;264;5;47;8;6;67;0;68;105;50;55;3;694;276;4;3;1;0
8;1509;4;44;1;5;3;1;45;0;8;197;1513;3;1;31;267;5;1;6;0
8;2871;1;208;1;12;7;6;118;0;81;75;44;97;5;213;151;8;9;1;0
8;1847;7;1;1;7;3;1;47;4;7;176;1879;5;8;33;334;6;7;2;0
1;1002;1;41;2;4;9;2;123;0;96;142;92;78;2;806;349;2;3;4;0
6;2582;2;97;5;8;2;7;92;0;7;18;35;4;8;23;5;3;6;1;0
2;88;0;184;3;7;7;5;48;0;2;174;1572;29;1;20;81;5;1;7;0
1;2255;7;7;4;1;7;2;57;0;6;146;14;6;1;13;485;7;4;3;0
1;604;9;46;5;9;2;2;78;0;8;92;62;45;1;651;87;0;1;3;0
5;1396;8;53;7;8;4;9;47;0;74;175;1261;22;5;66;232;7;6;7;0
5;171;4;10;6;9;9;4;125;0;3;14;1644;94;1;31;0;7;1;2;0
1;1619;1;93;9;35;2;1;12;0;87;143;1348;47;9;266;135;7;6;2;0
5;1733;2;48;8;6;7;4;5;0;9;111;1501;48;6;415;251;5;8;3;0
8;1587;3;11;1;3;1;169;98;28;4;181;607;186;8;923;157;7;5;1;0
6;632;8;6;4;9;1;3;26;0;61;142;211;17;6;11;67;0;2;0;0
1;906;9;61;5;1;7;81;24;15;5;5;1745;191;2;94;72;4;9;3;0
1;2189;3;282;2;42;6;1;138;0;8;121;54;94;3;3;75;4;5;0;0
1;2864;1;44;1;24;9;8;134;0;79;37;642;45;1;3;58;5;5;8;0
4;2772;6;135;2;15;6;7;92;0;6;37;639;74;7;97;44;5;1;5;0
1;1022;2;24;5;23;6;1;118;0;71;162;682;66;1;335;9;7;9;3;0
4;2639;7;44;3;15;6;8;33;0;89;48;1251;47;6;4;137;6;9;8;0
2;1186;1;51;1;2;6;2;133;0;3;4;1829;43;1;653;71;8;1;4;0
1;5;2;119;5;0;7;138;139;87;87;47;358;13;1;35;193;9;2;8;0
2;809;6;36;5;4;8;5;95;0;62;21;1039;17;5;329;531;8;1;7;0
4;86;2;21;5;1;7;1;74;0;5;8;159;65;1;265;202;0;9;4;0
9;2827;0;63;7;9;9;2;5;0;3;142;373;59;8;692;254;5;8;2;0
5;1895;3;13;8;1;3;6;45;0;59;53;421;47;5;337;561;8;4;4;0
3;1086;4;6;7;24;2;1;0;0;51;169;545;21;1;1388;44;1;9;2;0
2;907;6;46;7;23;0;4;31;0;84;1;1465;29;4;1057;53;3;3;6;0
7;1693;3;148;9;3;8;6;14;0;7;115;1419;87;5;111;138;7;8;7;0
9;2913;1;26;3;7;6;9;63;0;99;5;1486;63;1;311;128;0;4;6;0
5;1916;9;25;1;53;6;8;91;0;8;19;407;31;8;54;9;3;5;4;0
4;12;2;203;7;3;9;0;59;0;61;8;1269;92;1;67;383;8;0;6;0
1;372;9;166;7;5;5;5;14;0;8;155;588;75;1;584;33;2;9;2;0
5;268;4;0;1;5;9;8;133;0;3;77;175;24;7;1061;7;5;2;6;0
2;94;6;99;9;9;3;5;85;44;4;34;409;163;7;175;82;9;1;2;0
1;2425;2;49;9;11;7;1;28;0;6;113;1176;35;5;167;51;1;6;7;0
5;1259;1;20;8;66;3;9;7;0;1;53;1445;14;8;292;58;1;6;6;0
6;655;9;163;2;15;9;8;53;0;62;188;505;4;9;275;84;7;1;8;0
2;741;1;7;3;4;0;3;8;0;52;22;1205;52;9;1085;198;5;5;7;0
5;220;4;182;9;2;3;2;49;0;3;75;1875;93;4;85;181;8;6;4;0
4;461;9;65;5;17;1;1;15;0;4;154;1244;81;6;359;81;6;4;1;0
8;2454;6;64;9;0;5;0;31;0;0;102;123;2;1;39;337;2;5;3;0
8;2536;1;56;9;41;9;2;62;0;4;198;862;3;1;462;217;6;9;0;0
7;877;5;6;7;23;5;122;106;27;8;103;446;239;7;62;356;1;0;7;0
9;1447;9;13;1;4;6;8;115;0;69;121;247;92;3;81;96;1;2;3;0
0;877;1;31;4;43;3;7;32;0;8;198;1591;71;1;488;8;6;6;1;0
1;70;5;54;6;38;4;1;123;2;6;48;1042;6;2;1007;94;1;9;1;0
4;2441;1;23;4;12;1;9;5;0;89;62;704;78;7;80;328;1;2;4;0
9;1217;7;17;1;26;5;7;25;0;54;23;832;72;8;445;25;3;3;9;0
6;2893;2;274;7;1;1;4;48;0;65;125;1407;24;0;6;92;6;1;6;0
9;2283;2;76;1;0;3;4;133;0;55;116;1205;34;9;175;35;3;6;3;0
9;2901;7;6;1;2;0;7;98;0;91;187;896;7;4;2;36;2;0;5;0
1;2442;4;24;5;41;8;8;52;0;62;22;1263;71;3;1;25;4;5;1;0
7;865;6;38;5;9;1;9;135;0;4;26;713;73;9;21;534;7;9;6;0
9;171;6;24;5;5;9;7;141;0;82;23;88;95;0;98;59;9;8;2;0
7;2373;5;46;5;3;1;9;1;0;95;6;67;12;1;1046;171;4;7;8;0
1;283;7;152;1;1;2;4;59;0;85;25;86;21;1;813;636;3;0;8;0
7;2821;2;113;7;2;1;8;4;0;59;178;529;75;4;256;18;2;7;2;0
2;1801;9;12;6;16;8;9;52;0;51;125;929;29;2;516;84;4;3;1;0
4;1244;6;4;0;39;6;3;21;0;54;97;1764;8;9;123;0;5;7;5;0
7;2439;4;33;5;43;1;6;11;0;4;133;1326;26;5;883;96;0;5;8;0
3;273;7;233;1;39;4;1;33;0;6;16;535;99;3;39;91;2;1;7;0
1;1061;1;95;2;52;4;4;134;0;3;162;199;11;8;273;102;3;5;7;0
1;826;2;8;7;6;7;2;21;0;98;1;257;47;2;43;44;9;0;1;0
1;407;6;1;2;5;3;13;37;98;98;156;1092;139;8;296;281;5;9;0;0
5;2929;8;8;1;2;4;8;38;0;84;64;723;72;5;276;45;7;1;6;0
5;2244;2;99;9;5;5;7;66;0;93;155;1693;47;2;1037;31;7;7;4;0
8;2563;7;66;1;9;4;4;88;0;93;76;1487;37;9;413;104;5;1;5;0
4;143;4;38;0;3;2;2;33;0;58;113;85;39;1;14;37;2;4;0;0
6;1491;3;146;9;7;1;9;65;0;64;12;301;72;2;204;43;5;8;4;0
3;1222;3;48;5;13;5;9;11;0;0;3;168;97;4;403;25;5;7;9;0
8;2047;8;3;6;14;9;2;14;0;55;73;1637;68;6;15;7;4;1;4;0
6;2632;3;55;4;9;8;2;117;0;62;9;1801;87;2;292;291;8;1;2;0
5;37;1;7;3;45;1;3;105;0;3;76;115;6;1;77;272;7;9;5;0
7;1918;5;15;7;5;3;7;134;0;76;69;671;54;2;627;1;0;2;3;0
4;533;4;62;1;3;1;1;58;0;2;168;1761;41;8;276;13;5;2;5;0
7;2715;7;193;1;57;1;3;2;0;69;104;513;35;6;261;287;3;2;8;0
1;281;3;111;2;1;9;4;19;0;92;97;1055;31;1;195;25;7;8;1;0
1;247;5;18;4;23;6;75;44;68;68;157;1633;12;2;235;175;4;2;4;0
9;269;6;39;5;2;9;1;59;0;8;122;1567;16;9;112;78;4;8;5;0
2;2376;9;81;5;5;2;7;1;0;79;44;1421;18;5;502;336;4;5;3;0
7;1883;4;6;1;42;9;2;136;0;74;126;151;88;7;38;16;1;3;8;0
4;378;8;56;1;7;1;5;83;0;6;72;751;3;0;778;36;6;3;0;0
5;49;2;52;1;4;7;7;36;0;64;87;688;6;1;9;97;3;5;8;0
7;1108;8;214;2;9;1;2;31;0;2;17;73;45;1;257;89;4;2;6;0
6;377;5;42;3;11;8;5;146;0;75;5;738;49;2;171;652;7;1;7;0
7;2353;6;21;2;3;8;6;81;0;1;98;377;27;3;3;236;1;1;2;0
2;157;9;4;9;3;2;7;7;1;0;8;743;181;6;574;672;6;0;8;0
8;239;2;4;8;2;5;9;126;0;87;97;43;95;6;87;66;7;2;8;0
2;2837;4;71;9;13;9;5;128;0;77;144;206;16;2;236;34;2;5;7;0
9;53;8;69;8;2;2;7;56;0;94;6;1578;29;9;64;394;1;5;1;0
6;1389;1;15;5;4;0;2;37;0;1;33;955;46;5;3;27;5;7;6;0
5;2593;6;84;6;15;3;4;29;0;58;195;827;59;7;33;314;6;1;2;0
4;2336;2;15;4;16;6;6;18;0;81;41;1578;6;1;44;5;0;6;7;0
9;1489;3;214;2;2;6;1;9;0;84;183;1136;42;1;145;291;3;5;5;0
0;2939;9;319;2;9;1;7;44;0;1;22;1461;10;7;107;19;3;8;6;0
3;1477;4;118;3;3;2;4;143;0;63;152;666;61;5;37;181;5;1;5;0
3;237;2;54;3;4;0;9;6;0;75;98;75;38;9;365;23;4;1;5;0
5;446;6;79;1;19;8;1;45;0;63;124;383;2;7;26;44;5;2;2;0
8;2759;1;5;2;38;0;2;121;0;2;103;1306;95;1;629;37;7;8;3;0
7;359;8;54;4;1;3;145;28;52;52;197;839;209;6;1056;248;6;7;8;0
9;1607;4;93;3;1;5;6;48;0;93;142;49;1;9;1;29;5;2;4;0
2;274;7;83;8;17;4;52;22;69;69;64;1329;145;4;204;163;3;0;7;0
1;2819;9;19;5;34;6;9;61;0;55;188;1475;64;5;324;40;4;1;6;0
4;1764;1;38;3;1;1;1;139;0;5;175;1785;33;2;232;6;5;2;8;0
8;1744;5;6;4;9;7;5;28;0;89;11;938;92;7;561;41;2;3;3;0
1;2617;5;248;4;6;3;5;19;0;9;45;435;42;7;21;351;2;1;6;0
7;33;5;206;9;5;1;1;91;0;78;174;709;86;5;73;137;7;9;6;0
1;2471;1;0;8;6;1;9;59;0;61;4;1849;11;1;294;88;3;4;2;0
3;1112;7;282;4;11;9;5;23;0;7;166;1615;77;3;316;38;7;3;7;0
5;345;2;35;9;31;4;0;79;0;63;122;746;43;9;83;33;7;3;1;0
7;2295;9;23;9;1;7;1;35;0;86;132;797;43;0;11;661;3;1;1;0
1;1747;9;97;6;28;3;4;23;0;7;93;708;6;4;21;105;5;6;5;0
7;2289;2;89;2;17;2;5;134;0;97;86;152;2;2;266;294;4;9;1;0
7;2834;5;291;8;34;1;2;16;0;91;176;638;1;9;916;19;5;1;9;0
8;1992;6;201;9;1;4;7;68;0;1;159;745;39;4;44;187;2;1;3;0
4;1136;3;49;8;12;1;5;12;0;2;1;1855;36;2;429;17;1;8;4;0
4;675;7;66;9;3;6;8;115;0;61;133;745;1;0;238;23;3;1;2;0
5;2053;8;11;3;3;1;7;7;0;87;106;973;99;8;196;287;2;1;7;0
9;651;3;98;0;24;6;1;83;0;1;152;1329;96;5;342;30;8;1;9;0
8;1732;6;9;5;59;8;9;66;7;8;91;42;62;8;481;78;2;0;5;0
5;1974;3;24;8;27;3;1;109;0;65;14;298;64;5;203;77;8;8;4;0
2;2481;8;235;0;7;9;7;49;0;6;93;75;68;9;29;10;2;1;7;0
8;1602;3;45;7;4;0;4;108;0;99;2;1802;88;3;723;19;4;8;1;0
5;1873;5;13;1;8;2;9;116;0;94;47;418;84;8;83;111;3;1;1;0
2;2661;4;66;5;0;9;2;85;1;1;167;1541;46;1;776;87;7;9;0;0
5;683;9;97;5;38;3;3;58;0;6;66;6;63;3;599;165;5;1;2;0
6;2389;5;32;6;33;9;8;21;0;67;92;521;78;1;586;307;8;0;9;0
3;1315;2;142;8;1;2;1;1;0;0;165;1082;53;6;17;72;7;8;9;0
7;1819;5;5;4;2;2;2;123;0;79;112;109;92;8;411;63;2;2;4;0
9;41;8;64;4;14;6;1;144;0;53;199;1284;72;1;547;172;3;8;5;0
5;2079;3;48;4;7;8;1;34;0;98;104;1647;38;9;177;65;6;8;8;0
7;1472;3;84;1;24;1;5;116;0;85;5;1061;78;5;749;45;9;0;8;0
2;1724;1;83;2;7;8;8;26;0;72;34;1727;71;4;202;51;4;6;6;0
5;1582;4;2;3;19;2;7;87;0;2;17;494;0;1;358;34;3;3;7;0
3;2035;2;255;3;3;5;7;145;0;7;39;55;13;5;4;351;6;3;3;0
4;902;9;37;3;9;2;1;145;0;9;159;27;78;1;4;485;4;8;0;0
2;1495;8;177;9;13;0;8;101;0;76;168;1785;94;9;48;177;7;3;0;0
6;1916;9;239;2;64;9;9;13;0;2;117;1884;13;1;403;64;8;7;1;0
4;12;9;128;5;9;2;7;61;0;1;89;919;41;4;317;82;4;2;6;0
6;2438;5;68;1;6;3;7;11;6;5;72;336;27;8;27;168;2;1;9;0
6;1077;6;75;4;0;4;1;79;0;72;115;122;7;2;66;166;5;1;7;0
3;2934;2;1;4;11;5;3;33;0;0;126;457;94;8;437;272;5;1;8;0
7;1322;2;4;1;34;8;3;148;6;1;117;319;74;4;35;551;6;1;9;0
4;2082;1;12;0;3;9;1;67;0;59;42;1534;84;6;16;273;5;2;2;0
4;1736;2;53;9;3;7;9;2;1;7;28;1408;65;9;585;477;6;5;3;0
8;1382;1;194;6;23;7;5;127;0;53;57;1718;86;5;144;27;7;1;1;0
8;2154;7;8;7;2;1;6;125;0;2;83;1532;2;5;23;174;5;9;4;0
8;1321;4;107;1;46;9;1;139;0;5;156;1569;76;3;4;26;3;0;6;0
8;543;5;4;3;74;9;57;144;44;3;92;785;148;9;1131;37;2;7;7;0
8;1925;6;31;9;1;3;5;91;0;74;74;1842;14;7;941;5;5;9;3;0
6;1748;7;0;4;32;3;5;99;0;0;99;102;23;1;4;1;6;5;8;0
3;2451;3;36;5;8;4;8;77;0;67;89;1126;2;1;685;383;1;4;7;0
